fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax
2019-10-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"19,0","0,0","10,0",06:00,"28,1",14:20
2019-10-02,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"18,0","0,0","11,5",06:50,"24,5",14:30
2019-10-03,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"16,9","0,0","7,9",06:40,"25,9",15:20
2019-10-04,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"18,8","0,0","8,8",06:00,"28,8",15:40
2019-10-05,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"18,7","0,0","10,0",06:00,"27,4",16:10
2019-10-06,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"19,1","0,0","9,5",06:40,"28,7",15:10
2019-10-07,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"19,8","0,0","11,0",06:40,"28,7",15:50
2019-10-08,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"20,6","0,0","11,4",05:30,"29,8",16:00
2019-10-09,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"20,8","0,0","12,5",06:30,"29,1",15:20
2019-10-10,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"20,4","0,0","14,3",05:20,"26,6",15:40
2019-10-11,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"19,8","0,0","12,6",06:40,"27,0",15:40
2019-10-12,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"20,7","6,0","15,3",06:40,"26,1",Varias
2019-10-13,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"18,7","0,0","12,6",06:50,"24,8",15:50
2019-10-14,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"13,6","2,1","7,1",23:59,"20,2",13:40
2019-10-15,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"11,8","0,0","5,9",06:40,"17,7",15:00
2019-10-16,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"12,7","1,3","5,7",07:00,"19,7",15:20
2019-10-17,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"11,6","1,7","7,5",04:00,"15,7",17:00
2019-10-18,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"16,6","0,1","12,9",23:59,"20,2",13:10
2019-10-19,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"14,3","15,0","10,7",07:00,"17,9",12:40
2019-10-20,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"9,2","0,2","5,2",23:59,"13,2",13:20
2019-10-21,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"8,8","0,0","2,1",06:40,"15,6",15:00
2019-10-22,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"8,9","9,5","6,5",00:10,"11,3",11:00
2019-10-23,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"8,4","1,0","6,8",06:00,"10,0",16:00
2019-10-24,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"11,8","0,0","5,5",07:10,"18,2",16:00
2019-10-25,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"13,6","0,0","6,1",07:00,"21,1",15:40
2019-10-26,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"14,2","0,0","5,3",06:40,"23,1",15:40
2019-10-27,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"14,0","0,0","6,2",07:00,"21,9",13:40
2019-10-28,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"16,4","0,0","10,8",05:00,"22,0",15:00
2019-10-29,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"14,1","0,0","8,4",05:30,"19,8",14:40
2019-10-30,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"13,7","0,0","9,0",07:00,"18,4",13:40
2019-10-31,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"18,8","0,5","13,6",03:50,"24,0",15:00
2019-11-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"17,0","0,1","14,1",03:50,"20,0",10:40
