Denominación Social Empresa Comercializadora,Denominación de la Oferta,Importe primeras facturas en Euros,Importe siguientes facturas en Euros,Validez,Servicios Adicionales Incluidos,Penalización,Verde,URL de la Oferta

ENERGIA NUFRI SL,ENERGIA NUFRI - 3 PRECIOS,"43,43 €","43,43 €",Oferta válida solo para nuevos clientes,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F1721A5CB97B015873CDFF2B5BED0EF49BB15536F0DB5B1882F6248AEAFE29313D765C68FD8944CF86F8D92032A5587F7516E9DFD26675C2CC2A7BFC3BC25AD1B8BB21C5F278DD75E9205342A76C7B61ADE9143981B38244D268D2C95B8CB85E85445CAC2911B5202DE40A51D16431A6371D3376777497879F519EB80E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
CLEARVIEW ENERGY S.L.,Tarifa Óptima Fija (1511),"43,63 €","43,63 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F1617A5715A2E755AB4C16D592FA197DEE6BCB3437FAFC231451C1DD6859585771AD44C5CDAE95CBCC4DE5566772E8E571E82755E8D1B5F8DC54B77D2714D531ADDD1798C46DF16E597139064C2A744E0F4C1B6585C58CF73D0EE0CC2626ADB7E810456379D8188810AF45597096F4B088901B6FA1A40925C78BD1674E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"ENERGYA VM GESTION DE ENERGÍA, S.L",Fórmula Fija Única 24HORAS,"43,71 €","43,71 €",Válida sólo para consumidores domésticos,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F11F56C63657E407D068ACA1B0C43DD7E40ECD1E423B98A0995F9D790D22B54E09BF5B9B36430A1070D25322EB99911701124DEE79A8E7820660E6FE06E8151398E431E507B1CC025B0C18FFEC3F9AEF4FF1E4733CEBEF2C54A37CB5DCD9140ACFB5E8C25172E6C6BDE2E7D65ECAA3913BE45D3E2DA38FEE72B6209AEE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"ENERGYA VM GESTION DE ENERGÍA, S.L",Fórmula Fija Única 3 PERIODOS,"43,88 €","43,88 €",Válida sólo para consumidores domésticos,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F15A9C6B040C6D49639BFF37B4D8879542ADAE0692932DF55B7D29CD64797161A8A28E7CD5BDFF982BB95F40459B4B7EDFE58911D0B018D789F6DB3266E36BEA026B1E861B26A63392F6CF9452FE7C832C64507223476FFE26537747BC9DEC1A0B4E3BC574404CB88A2FBC5705D2E113676C1713C3C2C33504AEFC996E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
ENERGIA NUFRI SL,ENERGIA NUFRI - 1 PRECIO 24h,"44,10 €","44,10 €",Oferta válida solo para nuevos clientes,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F171BDD709659C9B2CA9C8081A5714BFF0F82B42031942C54356BE393BA188D3763FE706D58A147BF7C89C2C81B4F1E5D931B91F9B3C4511E2C73A7F0939046FA23BDEC4F70952C3A8C90A579A4F3871F2CF67DBDAD54AD9656C6EEACF42277128CE5C2A949074810BDD53F35FFB8EEEC994918C9432D73795101A416E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
DOMESTICA GAS Y ELECTRICIDAD SLU,E-Doméstica Luz,"44,33 €","44,33 €",Válida sólo para consumidores domésticos,Ninguno,No,Sí,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F11E41352617B5CFFAFC0737EC024F39E3E34F3F78F54FA6DA816A83FF0CD434B41BFB74BE457915C3419C47D8C85D4A2D62BBADD42A556F4A3722866F4C11ED556668E215632BEB9A063E3EC4E7D2201EA4DF5A485148EA0DAE511A37F96142BA53E73D93EF24E957CEC4BB0A90BB6AF34A778083DE4EFE53F193370E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
"IBERDROLA CLIENTES, S.A.U.",2.0TD Plan Online (0-10kW),"44,40 €","44,40 €",Oferta válida solo para nuevos clientes,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9ED8C3C84A2BF83F42E3753ED01658CEF54ABD29EAE83013F54CF9D8E9D0095C7B31E5CC79E490F9C37B778E0E1E2C9CD1A3C20CCDC5F51BDACAD2CB6308DB2ED16317C2E2C7A00FDFBBEE43236D58FD8C605162CCF0FCCAA6457B7924B57A8645098E721830FC0DA337F29BCAFE14559E082EFF27751784902B3FB546E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
ENDESA ENERGÍA S.A.U.,ONE Luz,"44,51 €","44,51 €",Oferta válida solo para nuevos clientes,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F14208E83E5DAB027DFD59DA49021197E97E88F76B04B7D87525FC1ACFDED878BE2B606A35F5296622E92E8545C00AB177049603297B29D98B9975F0FA6879DC089D52435185CEDA7BC77124D738B4D579928791D040B7753348F02A78CF6D0D7BF6195A01EB227380674B40E607A85A4F2114F3664BADF24B47CD16EE8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
ENDESA ENERGÍA S.A.U.,ONE 3 Periodos,"44,63 €","44,63 €",Oferta válida solo para nuevos clientes,Ninguno,No,No,https://comparador.cnmc.gob.es/comparador/detalle/025FA2D8F3D84CCEE8BB05F54CE29A98BD9C2674412CB658BEE1260820DCF70C9CF2949699FFE9F142656DEE730FBFC52190FD8A980BCC9437B2EC58C6D02BB4C5626C7F3B78D68561D5CC5DF459B9B2196B78F6B0714B12E9C6C360A55A8A74FCB76E2CF1D03E1F1C95444CF5598CBC1EBA0FE455F7C534AC33EF771EEEE0A04554090519FDFAD86C19DB966C6312A26E019F57704B11BCA9B6DD498D6E425589518D8E8AF6789EBC3C8C3A9D0DF10EA19BEB371C98000000000000000000000000000000000000000000000000000000000000001E8480
